Latitude,Longitude,Stop Time,Stop Status
40.699311,-73.911253,PALMETTO ST/WYCKOFF AV,at stop
40.690693,-73.920885,GATES AV/BUSHWICK AV,at stop
40.688524,-73.930541,GATES AV/MALCOLM X BL,at stop
40.687256,-73.941526,GATES AV/THROOP AV,at stop
40.686614,-73.975177,FULTON ST/S ELLIOTT PL,at stop
40.700179,-73.911561,GATES AV/WYCKOFF AV,at stop
40.687584,-73.97762,FULTON ST/LAFAYETTE AV,approaching
40.686867,-73.975806,FULTON ST/FT GREENE PL,approaching
40.690227,-73.921342,GATES AV/BUSHWICK AV,approaching
40.686429,-73.948742,GATES AV/MARCY AV,approaching
40.686719,-73.975434,FULTON ST/FT GREENE PL,< 1 stop away
40.692406,-73.989072,FULTON ST/SMITH ST,< 1 stop away
40.686849,-73.945095,GATES AV/MARCY AV,< 1 stop away
